ags,quelle,datenstand,last_update,neuinfizierte_7,neuinfizierte_7_ht,neuinfizierte_7_vglvw_rel,neuinfizierte_7_ht_vglvw_abs,faelle_covid_aktuell,intensiv_betten_gesamt,faelle_covid_aktuell_beatmet,covid_to_intensiv_betten_percent,betten_frei_to_betten_gesamt_percent,ags_parent,hospitalisierte_7_ht_parent,hospitalisierte_7_ht,hospitalisierte_7_ht_nowcasting,hospitalisierte_7_ht_nowcasting_vglvw_rm,vollstaendig_rel,erstimpfung_rel,drittimpfung_rel,viertimpfung_rel,drittimpfung_1,drittimpfung_7,drittimpfung_7_vglvw_rel,drittimpfung_7_ds,erstimpfung_1,erstimpfung_7,erstimpfung_7_vglvw_rel,erstimpfung_7_ds,viertimpfung_1,viertimpfung_7,viertimpfung_7_vglvw_rel,viertimpfung_7_ds,vollstaendig_1,vollstaendig_7,vollstaendig_7_vglvw_rel,vollstaendig_7_ds,nicename,chart_id
00,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,459722,552.85,0.74,-198.96,,,,,,00,6.69,6.69,10.3,0.934,76.2,77.8,61.9,8,489,31618,0.895,4517,116,5262,0.788,752,1750,182417,0.901,26060,135,7489,0.833,1070,Deutschland,
01,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,12088,415.27,0.68,-193.24,31,702,15,4.4,20.5,00,6.69,5.98,9.4,0.769,79.8,80.9,69.9,15.6,82,970,0.925,139,12,125,0.687,18,59,7625,0.796,1089,3,194,0.924,28,Schleswig-Holstein,
01001,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,478,531.5,0.77,-160.12,2,42,1,4.8,11.9,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Flensburg,WyQWM
01002,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,712,288.73,0.64,-162.61,5,128,3,3.9,15.6,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Kiel,LpBfb
01003,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1197,554.56,0.81,-127.87,4,118,1,3.4,10.2,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Lübeck,9XT45
01004,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,318,397.97,0.73,-146.42,1,23,0,4.3,30.4,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Neumünster,EpYOp
01051,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,709,532.08,0.96,-23.26,2,35,1,5.7,2.9,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Dithmarschen,zTLkn
01053,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,735,369.06,0.52,-342.95,0,16,0,0,31.2,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Herzogtum Lauenburg,V510U
01054,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,701,419.39,0.63,-246.49,0,24,0,0,37.5,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Nordfriesland,33XTo
01055,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1054,523.11,0.76,-168.75,3,43,0,7,41.9,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Ostholstein,9RisB
01056,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1127,355.43,0.63,-205.31,2,37,1,5.4,21.6,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Pinneberg,gg0Fj
01057,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,449,347.11,0.59,-238.88,0,12,0,0,16.7,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Plön,wKNQX
01058,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1118,406.89,0.76,-127.38,8,43,6,18.6,30.2,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Rendsburg-Eckernförde,JUTEm
01059,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,967,477.18,0.79,-129.29,2,24,1,8.3,0,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Schleswig-Flensburg,D1u8u
01060,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1294,465.46,0.6,-308.99,2,84,1,2.4,36.9,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Segeberg,q1SEY
01061,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,501,383.3,0.58,-281.55,0,43,0,0,18.6,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Steinburg,tyN4d
01062,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,728,297.16,0.63,-172.25,0,30,0,0,16.7,01,5.98,,,,,,,,,,,,,,,,,,,,,,,,Stormarn,Wigzb
02,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,7067,381.49,0.69,-172.96,37,535,9,6.9,24.7,00,6.69,4.32,9.6,0.989,84.3,86.6,65.7,9.2,30,813,0.752,116,2,76,0.667,11,19,3755,0.921,536,2,113,0.79,16,Hamburg,
02000,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,7067,381.49,0.69,-172.96,36,535,9,6.7,24.1,02,4.32,,,,,,,,,,,,,,,,,,,,,,,,Hamburg,CX2YD
03,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,47969,599.36,0.68,-283.82,91,1973,30,4.6,19.7,00,6.69,3.85,6.3,0.926,77.7,79.9,66.6,11.1,6,2620,0.918,374,4,294,0.742,42,18,19101,0.821,2729,8,497,0.715,71,Niedersachsen,
